"pid3","weight","bias_wsj","bias_pbs","bias_npr","bias_cbs","bias_usa","bias_abc","bias_drg","bias_fox","bias_huf","bias_nyt"
"Independent ",0.819867757562202,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","6","4 - No bias at all"
"Republican ",0.734366857192731,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","2","3","5","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.819867757562202,"7 - Conservative or pro-Republican party bias","4 - No bias at all","3",NA,"5","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","3"
"Democrat ",1.19626643440477,"5","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",1.24680632386779,"7 - Conservative or pro-Republican party bias","2","3","4 - No bias at all","3","5","6","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",0.734366857192731,"5","2","4 - No bias at all","6","4 - No bias at all","2","4 - No bias at all","6","4 - No bias at all","2"
"Independent ",0.819867757562202,"1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","2","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.42513885806255,"7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias"
"Democrat ",1.25889119052398,"3","2","1 - Liberal or pro-Democratic party bias","3","3","5","5","7 - Conservative or pro-Republican party bias","3","3"
"Democrat ",1.24680632386779,"5","3","4 - No bias at all","3","5","4 - No bias at all","3","6","3","3"
"Independent ",1.67793085934152,"6","4 - No bias at all","2","3","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.67793085934152,"7 - Conservative or pro-Republican party bias","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Democrat ",1.39196955152836,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","2","2"
"Democrat ",1.29710138303235,"6","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Independent ",0.6881998013553,"6","4 - No bias at all","4 - No bias at all","5","5","5","5","7 - Conservative or pro-Republican party bias","2","4 - No bias at all"
"Democrat ",1.27651652916627,"6","5","5","5","6","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","5","4 - No bias at all"
"Democrat ",1.67793085934152,"2","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","5","5"
"Other ",1.39196955152836,"5","3","2","2","3","3","6","6","3","2"
"Democrat ",0.6881998013553,"7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.10168400176603,"3","3","2","3","2","2","5","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.19626643440477,"6","2","2","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","3"
"Independent ",0.6881998013553,"6","3","3","5","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","3"
"Independent ",1.10168400176603,"5","4 - No bias at all","2","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","2"
"Republican ",1.05896624448484,"3","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","1 - Liberal or pro-Democratic party bias","6","5","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",1.67793085934152,"3","3","2","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","6","2","5"
"Democrat ",1.10168400176603,"5","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","6","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.10168400176603,"6","4 - No bias at all","3","2","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","2"
"Independent ",1.24680632386779,"3","4 - No bias at all","3","5","3","5","3","6","6","3"
"Democrat ",1.67793085934152,"5","3","2","3","3","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","3"
"Democrat ",1.24680632386779,"6","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","4 - No bias at all"
"Republican ",1.24680632386779,"3","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","5","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Republican ",1.50294581095031,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","5","2","6","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.10136179960778,"4 - No bias at all","4 - No bias at all","5","5","3","3","3","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Independent ",1.02629968588156,"7 - Conservative or pro-Republican party bias","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","7 - Conservative or pro-Republican party bias"
"Democrat ",1.18225961819515,"5","3","3","3","4 - No bias at all","4 - No bias at all","6","5","3","5"
"Republican ",1.05896624448484,"5","2","1 - Liberal or pro-Democratic party bias","2","2","2","6","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.39196955152836,"6","2","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.24680632386779,"4 - No bias at all","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","6","2","4 - No bias at all"
"Democrat ",0.609212411329635,"2","3","3",NA,NA,NA,"7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.6881998013553,"5","3","3","4 - No bias at all","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",0.734366857192731,"5","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Republican ",1.39196955152836,"5","2","2","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.559853865601763,"7 - Conservative or pro-Republican party bias","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","3"
"Democrat ",1.42513885806255,"5","2","2","3","4 - No bias at all","3","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.19626643440477,"6","3","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","3","2"
"Democrat ",1.29710138303235,"7 - Conservative or pro-Republican party bias","4 - No bias at all","3","4 - No bias at all","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","3"
"Republican ",1.39196955152836,"5","3","2","2","3","2","6","6","4 - No bias at all","4 - No bias at all"
"Democrat ",0.680141823754453,"6","4 - No bias at all","4 - No bias at all","2","2","2","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","2"
"Independent ",1.40846090535419,"2","3","2","3","4 - No bias at all","2","5","6","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",0.946516503582857,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",1.39196955152836,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.18225961819515,"5","3","3","3","4 - No bias at all","3","6","5","2","4 - No bias at all"
"Independent ",0.6881998013553,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all"
"Democrat ",0.633787498642761,"6","4 - No bias at all","4 - No bias at all","2","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","3"
"Democrat ",1.50294581095031,"6","4 - No bias at all","3","3","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","2"
"Other ",1.67793085934152,"5","3","2","3","4 - No bias at all","5","5","6","2","3"
"Independent ",0.734366857192731,"6","4 - No bias at all","4 - No bias at all","3","5","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","5"
"Independent ",1.39196955152836,"3","3","3","2","3","2","3","6","1 - Liberal or pro-Democratic party bias","2"
"Democrat ",1.29710138303235,"5","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","5"
"Republican ",0.616430052993772,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","3","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.986793553636056,"6","3","3","5","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","5"
"Democrat ",1.19626643440477,"3","2","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all"
"Independent ",1.16183159702502,"6","3","3","5","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","3"
"Democrat ",0.609212411329635,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all"
"Independent ",1.05896624448484,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all"
"Republican ",0.609212411329635,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.616430052993772,"5","2","2","3","2","3","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.680141823754453,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","6","5","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.05896624448484,"4 - No bias at all","2","4 - No bias at all","2","3","2","3","5","6","1 - Liberal or pro-Democratic party bias"
"Republican ",1.05896624448484,"4 - No bias at all","4 - No bias at all","4 - No bias at all","2","4 - No bias at all","2","4 - No bias at all","6","4 - No bias at all","4 - No bias at all"
"Democrat ",1.18225961819515,"5","2","3","3","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","5"
"Independent ",0.680141823754453,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.680141823754453,"3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","1 - Liberal or pro-Democratic party bias","5","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias"
"Independent ",0.567692203057534,"5","3","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","5","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",0.567692203057534,"4 - No bias at all","5","5","3","4 - No bias at all","2","6","5","4 - No bias at all","2"
"Independent ",0.609212411329635,"6","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","3","4 - No bias at all","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","2","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.24680632386779,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",0.616430052993772,"6","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","3"
"Democrat ",0.607918773911163,"7 - Conservative or pro-Republican party bias","4 - No bias at all","2","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","3"
"Republican ",0.6881998013553,"6","3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","2","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.07151234293091,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","6","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.633787498642761,"6","2","1 - Liberal or pro-Democratic party bias","2","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","6","1 - Liberal or pro-Democratic party bias","6"
"Republican ",0.780043259950647,"4 - No bias at all","3","1 - Liberal or pro-Democratic party bias","3","3","3","6","6","3","3"
"Democrat ",0.986793553636056,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Other ",0.6881998013553,"6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.734366857192731,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","1 - Liberal or pro-Democratic party bias","3"
"Independent ",0.734366857192731,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","2","3","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",1.00752770664113,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","5","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.680141823754453,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","5","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Other ",1.40846090535419,"7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.680141823754453,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.07151234293091,"6","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","2","6","7 - Conservative or pro-Republican party bias","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.609212411329635,"3","3","6","3","4 - No bias at all","3","6","4 - No bias at all","3","3"
"Republican ",0.609212411329635,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",1.16183159702502,"3","3","2","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","6","1 - Liberal or pro-Democratic party bias","2"
"Independent ",0.734366857192731,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.10168400176603,"6","3","3","6","6","6","6","7 - Conservative or pro-Republican party bias","2","3"
"Independent ",1.16183159702502,"5","3","2","5","4 - No bias at all","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Republican ",0.6881998013553,"5","3","2","2","3","2","6","6","2","1 - Liberal or pro-Democratic party bias"
"Republican ",0.609212411329635,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Independent ",0.609212411329635,"6","4 - No bias at all","5","4 - No bias at all","3","4 - No bias at all","3","5","6","3"
"Other ",0.680141823754453,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","3","2","4 - No bias at all","4 - No bias at all","2","2"
"Independent ",0.819867757562202,"4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Independent ",1.27651652916627,"3","3","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","1 - Liberal or pro-Democratic party bias","6","5","3","1 - Liberal or pro-Democratic party bias"
"Independent ",1.19626643440477,"7 - Conservative or pro-Republican party bias","5","4 - No bias at all","6","6","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","5"
"Independent ",0.680141823754453,"5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","5","5","2","2"
"Democrat ",1.18225961819515,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","5","6","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Democrat ",1.59642655223364,"5","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","7 - Conservative or pro-Republican party bias","2","2"
"Independent ",1.18624358675689,"6","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","2"
"Democrat ",1.35591374398098,"7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all","5","5","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","5"
"Republican ",0.680141823754453,"7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","5","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.18225961819515,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",1.2615778569208,"4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","3","4 - No bias at all"
"Other ",1.18225961819515,"6","4 - No bias at all","4 - No bias at all","5","3","5","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","2","6"
"Democrat ",0.609212411329635,"6","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","7 - Conservative or pro-Republican party bias","7 - Conservative or pro-Republican party bias","4 - No bias at all","6"
"Democrat ",1.39196955152836,"6","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","2","3"
"Independent ",0.680141823754453,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","2","5","5","4 - No bias at all","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.2615778569208,"5","2","3","3","5","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Independent ",0.935433953472144,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",1.27651652916627,"3","2","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","6","5","2","1 - Liberal or pro-Democratic party bias"
"Republican ",1.10168400176603,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias","2","6","5","1 - Liberal or pro-Democratic party bias","2"
"Independent ",1.10168400176603,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.12760620064093,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.680141823754453,"7 - Conservative or pro-Republican party bias","3","3","4 - No bias at all","5","4 - No bias at all","6","6","1 - Liberal or pro-Democratic party bias","4 - No bias at all"
"Independent ",0.6881998013553,"6","3","3","2","3","3","6","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","2"
"Republican ",1.10168400176603,"3","3","2","3","4 - No bias at all","3","3","5","4 - No bias at all","3"
"Republican ",0.609212411329635,"1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Republican ",0.616430052993772,"5","5","1 - Liberal or pro-Democratic party bias","5","1 - Liberal or pro-Democratic party bias","3","3","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.24680632386779,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.24680632386779,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.69869550546494,"5","4 - No bias at all","6","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all"
"Democrat ",0.680141823754453,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.609212411329635,"4 - No bias at all","2","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","6","3"
"Independent ",0.69869550546494,"2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","3","3","3","2","3","2","1 - Liberal or pro-Democratic party bias"
"Independent ",0.609212411329635,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.07151234293091,"5","4 - No bias at all","4 - No bias at all","5","4 - No bias at all","5","5","5","5","5"
"Republican ",0.69869550546494,"3","4 - No bias at all","3","1 - Liberal or pro-Democratic party bias","3","3","1 - Liberal or pro-Democratic party bias","4 - No bias at all",NA,"3"
